city,lat,temp,Humidity,Cloudiness,WindSpeed
Kathmandu,27.71,66.2,100,40,2.28
Bluff,-23.58,61.05,86,0,8.32
Aguimes,27.91,73.4,88,0,13.87
Puerto Ayora,-0.74,77.0,69,0,5.82
Seydi,13.34,77.43,63,0,4.97
Mataura,-46.19,43.5,73,92,21.07
Coihaique,-45.58,47.46,65,75,10.29
Atuona,-9.8,78.87,100,0,10.45
Port Alfred,-33.59,65.1,92,0,14.47
East London,-33.02,69.33,100,20,14.58
Mogadishu,2.04,78.42,100,92,13.47
Yulara,-25.24,55.4,32,0,5.82
Hamilton,32.3,80.6,65,75,18.34
Severo-Kurilsk,50.68,48.81,100,56,10.11
Ponta Delgada,37.73,71.6,78,40,10.29
Arraial do Cabo,-22.97,76.87,69,40,13.87
Thompson,55.74,42.8,70,75,6.93
New Norfolk,-42.78,42.8,81,40,6.93
Orange Cove,36.62,92.5,22,1,9.17
Dikson,73.51,39.99,95,92,27.56
Hilo,19.71,87.98,70,40,17.22
Gerash,27.67,84.2,16,0,2.17
Cape Town,-33.93,55.4,87,75,24.16
Brazzaville,-4.27,82.4,58,20,5.82
Katobu,-4.94,76.35,100,0,4.85
Albany,42.65,57.87,90,90,4.7
Anadyr,64.73,46.4,87,90,4.47
Cayenne,4.94,75.2,100,24,5.82
Hasaki,35.73,62.31,88,75,16.11
Yumen,40.29,51.96,39,0,13.47
Fortuna,38.18,76.1,78,90,11.41
Butaritari,3.07,83.46,100,0,13.58
Longyearbyen,78.22,30.2,80,75,14.99
Viedma,-40.81,61.86,36,0,7.65
Nago,45.88,53.67,62,0,6.93
Hermanus,-34.42,54.03,86,64,11.68
Yellowknife,62.45,50.0,66,75,4.7
Iskateley,67.68,45.48,95,80,4.41
Punta Arenas,-53.16,41.0,65,20,8.05
Clonakilty,51.62,53.6,93,75,9.17
Upernavik,72.79,32.25,100,80,8.77
Avera,33.19,86.38,61,1,4.7
Kerman,30.29,64.4,31,0,4.7
Plastun,44.76,42.33,82,0,3.74
Busselton,-33.64,55.65,100,76,5.64
Carauari,-4.88,84.54,64,32,4.29
Qaanaaq,77.48,14.16,100,12,5.86
Yasnaya Polyana,54.57,41.43,78,56,5.41
Jiaohe,43.72,32.43,86,0,2.62
Rocha,-34.48,64.56,57,24,14.7
Kalmunai,7.42,74.01,100,88,3.4
Lebu,8.96,46.11,69,0,4.18
Saskylakh,71.97,32.52,91,88,10.67
Faya,18.39,67.12,22,0,7.65
Jamestown,-33.21,37.11,77,0,5.41
Ponta do Sol,-20.63,83.01,36,20,4.63
Vaini,15.34,70.68,97,76,2.62
Ulaangom,49.98,26.76,91,0,4.63
Bredasdorp,-34.53,59.0,62,88,11.41
Kiunga,-6.12,71.58,95,36,1.95
Ust-Maya,60.42,28.83,86,24,3.06
Saint-Augustin,44.83,50.81,62,0,5.75
Port Elizabeth,39.31,76.12,90,75,6.93
Tasiilaq,65.61,35.6,74,0,6.93
Angoche,-16.23,78.06,100,0,6.64
Nioro,13.79,81.12,82,76,3.96
Mahanoro,-19.9,64.56,98,48,2.73
Miri,10.31,73.2,82,56,0.94
Bossangoa,6.5,73.56,88,56,6.87
Shimanovsk,52.0,30.63,75,0,3.51
Ushuaia,-54.81,39.96,56,75,11.41
Sao Filipe,14.9,78.96,94,0,10.67
Te Anau,-45.41,36.75,87,92,8.21
Hithadhoo,-0.6,84.09,100,92,15.7
Kiama,-34.67,53.6,87,75,9.17
Hobart,-42.88,42.8,81,40,6.93
Avarua,-21.21,80.6,69,75,11.41
Sur,22.57,86.43,82,8,4.74
Georgetown,6.8,78.8,94,40,6.93
Mar del Plata,-46.43,39.09,100,100,13.47
Nikolskoye,59.7,41.0,75,40,6.71
Erzurum,39.91,48.2,76,0,1.95
Rikitea,-23.12,72.21,100,68,22.97
Taoudenni,22.68,83.46,22,24,5.97
Swellendam,-34.02,59.0,62,0,11.41
Taltal,-25.41,67.53,64,0,2.39
Quesnel,52.98,62.6,48,1,4.7
Meulaboh,4.14,78.24,100,24,3.29
Flinders,-34.58,53.6,87,75,9.17
Zhezkazgan,47.8,47.55,73,0,11.12
Khatanga,71.98,28.92,88,36,9.1
Salamiyah,35.01,60.15,88,0,3.96
Myatlevo,54.9,43.32,81,92,12.91
San Patricio,-26.98,70.5,94,88,6.64
Houma,35.63,51.06,98,92,2.73
Lavrentiya,65.58,41.61,100,0,11.01
Iranshahr,27.21,80.6,42,40,20.8
Tucson,32.22,93.11,25,1,3.36
Wanning,48.64,41.0,83,0,2.24
Puerto Leguizamo,-0.19,83.55,80,20,2.39
Manta,45.1,39.54,64,0,6.08
Kapaa,22.08,82.6,97,40,14.99
Los Andes,-32.83,66.2,42,75,12.75
Faanui,-16.48,78.06,100,24,14.03
Berlevag,70.86,38.41,75,0,12.75
Zhangye,38.94,45.66,69,0,9.44
Barrow,-38.31,66.09,44,92,11.45
Bulungu,-4.54,75.18,90,36,2.39
Ilulissat,69.22,30.2,80,75,9.17
Modica,36.86,69.8,68,40,10.29
Upington,-28.46,57.2,26,0,6.93
Inhambane,-23.87,73.56,94,8,13.91
Souillac,45.6,57.2,50,0,5.82
Ambilobe,-13.19,72.66,67,0,15.37
Carnarvon,-30.97,50.43,30,0,12.24
Dusti,37.35,57.99,80,0,2.17
Provideniya,64.42,42.8,75,0,6.71
Leh,34.16,12.09,82,56,1.39
Norman Wells,65.28,35.6,93,90,14.99
Dunedin,-45.87,40.8,72,20,22.75
Lakes Entrance,-37.88,46.29,100,8,3.74
New Smyrna Beach,29.03,86.43,69,40,6.93
Marsh Harbour,26.54,85.8,97,20,12.46
Chuy,-33.69,62.04,84,76,16.71
Castro,-42.48,49.26,75,76,7.2
Isangel,-19.55,73.47,100,92,16.93
Ixtapa,20.71,86.0,74,75,9.17
Lohardaga,23.43,71.6,100,75,3.4
Lagoa,37.14,75.2,78,0,3.36
Verkhnevilyuysk,63.45,38.37,86,20,3.18
Cherskiy,68.75,27.03,92,32,2.51
Artyom,43.36,37.4,100,90,2.24
Conceicao da Barra,-18.59,76.35,89,8,12.24
Atasu,48.68,39.72,79,0,3.74
Kedgwick,47.65,54.39,54,64,11.56
Kamenka,53.19,42.42,93,0,10.0
Udaipura,23.07,70.05,94,8,3.18
Beterou,9.2,74.28,94,68,5.97
Kavieng,-2.57,84.45,100,80,14.14
Codrington,-28.95,53.22,100,92,3.4
Kirakira,-10.46,76.17,100,100,16.93
Leningradskiy,69.38,39.9,98,56,13.58
Camacupa,-12.02,61.68,97,80,4.52
Bogorodskoye,52.37,33.96,100,0,3.18
Madinat Sittah Uktubar,29.82,78.8,74,0,9.17
Carutapera,-1.2,82.02,75,44,12.12
Rio Novo,-21.48,74.73,59,12,6.42
Aqtobe,50.28,51.8,66,0,8.43
Vila Franca do Campo,37.72,71.6,78,40,10.29
Ketchikan,55.34,54.95,93,90,10.29
Port Augusta,-32.49,50.0,81,0,5.82
Lompoc,34.64,68.95,67,1,12.75
Geraldton,49.72,42.8,93,90,5.82
Saint-Joseph,43.56,69.75,46,0,3.36
Tuatapere,-46.13,44.4,100,92,23.53
